Q9GZY0	P11182
P61604	Q9NWW9
P61925	O95197
Q03111	P00797
Q9Y4K1	P0DKB6
O60830	P23443
Q6ZS82	Q8WVI0
Q9NRA0	A6NI72
Q8IYW5	Q9UPR0
Q9UMX1	Q9HAV7
P22626	Q9NXH9
Q9Y6X1	Q6UX27
O00237	Q8IYX1
Q8N228	P63172
P49915	Q6UY13
P15313	Q13617
Q8N119	Q9Y5H4
Q9NXC5	Q8IX04
Q9UBQ6	O60306
Q9BZG9	Q96T92
Q53GS7	Q86YJ6
Q96GX2	Q99795
Q9HC10	Q8TCE6
P40306	Q495W5
Q8NDA2	Q9BRP1
P61952	P19429
Q9NWM3	Q6NXT6
O75496	Q8IY37
Q68DV7	Q9H2F3
P53611	P39060
Q969H6	P55809
Q86Y27	O15528
Q6P5S2	O43913
O15467	Q9H4A9
Q5HY92	Q7Z419
O14793	Q9P0W0
Q8N7A1	A6NGY1
Q5TCZ1	Q96KC8
P01215	Q1ED39
Q99612	Q53FD0
Q8NGN0	Q16880
P20248	Q9H4L7
P04198	Q9NUE0
Q8NCJ5	A6NKB5
P25791	Q8NBF1
Q96MU8	P56937
Q86V20	Q9BY12
Q99593	Q13093
P51451	Q9NV88
Q99679	Q8NGJ9
A6NL82	Q9BT49
P31273	Q9NZN5
Q8N9F8	Q13596
A2RUH7	Q96RA2
P13611	P30461
Q8N7P3	Q16644
P78332	Q96FZ2
Q92786	Q9Y215
A6NJ64	Q7Z7K0
O14782	P50876
Q5JT25	O14686
P04628	Q9H5Y7
P60602	Q8TE56
P00387	P55774
Q9NRX6	O95407
Q7L5A3	Q8NEC7
Q6ZR37	Q6IQ55
Q96LD4	Q9NR82
Q8N9C0	Q5HY64
O96018	Q8WY07
A5D8W1	Q9BUF7
O60732	Q5VXU1
P24394	Q9Y3C6
Q96PU9	A8MWA6
Q9HCM7	Q96AJ9
Q6NVV9	Q9H9G7
Q96KN8	Q96PQ5
Q8IZS5	Q6UW02
Q9P2H5	Q6P3R8
Q9Y6H1	Q86UT8
Q5H9J7	O15259
Q8TF66	P30307
P0CG20	Q6ZV89
Q14449	Q9Y466
Q75QN2	Q6NUS8
Q8NES8	Q9UJU2
O43827	Q8N5Y8
Q00403	P22680
Q5VW00	Q8NI51
Q9Y519	Q8IUW3
Q9H489	P60412
Q6XPR3	A6NIM6
Q14865	A6NK06
A6NCC3	Q9Y5W5
Q9Y2Q1	Q9P2K1
Q6ZMU1	Q14684
C9J1S8	Q9H321
Q8N8I6	Q9C0J8
Q92743	A6NE21
Q2VWP7	Q15291
Q9UN37	P40238
O75364	Q96H72
O15482	Q7L5L3
Q5T4W7	Q5T447
Q96JL9	O60258
Q5TA82	Q9UGH3
Q53H82	Q9GZP4
P49842	Q9BZI1
Q07108	Q9P2E9
Q9HBI1	Q14832
Q86X40	Q9P243
Q96I13	Q9NRJ5
O75398	P08133
Q9HCC8	Q96M94
A6NHR8	Q6NT04
Q8IW52	P06133
Q9H4B0	A6NNF4
P09681	Q16576
Q9UQK1	P05093
P06756	Q9NRM1
Q9NVP2	Q6ZWK4
Q5NDL2	Q9Y4X5
Q17RW2	A6NGZ8
O00194	A6NNT2
Q16739	Q8TEV8
Q9GZX3	O14950
P20809	Q9H8H3
Q96QD5	Q8TDW0
Q8N8U2	Q13474
P46199	Q5T9C9
Q8TD35	Q9H9P5
Q99645	O15162
P09228	Q92522
A8MTQ0	Q96NB2
O14545	Q16549
Q92535	P43304
O15234	Q5T2W1
P15907	Q8TDC3
Q9BWM7	P23434
Q96DY7	Q6UW32
Q02153	P01037
Q96JG8	Q9Y2D5
O43290	Q4G0U5
Q8N554	Q7Z2F6
P51857	Q99440
Q9H2A3	O14717
Q96DZ1	Q99836
Q9NRJ3	Q9UHF4
Q68DH5	Q969J3
O95006	O14958
Q96PD6	Q7Z2V1
P01876	Q16836
Q96PQ1	Q9Y462
Q5T6X5	O15260
Q17RA5	P35321
P56159	P22310
Q12931	Q13772
P36402	P23435
Q9Y3S1	Q15560
Q8N1N0	Q53FV1
P05106	Q96IW2
Q99683	Q9UBT7
Q9UBV8	Q9H094
Q86T82	Q8WZ79
Q9UBK7	Q16254
Q6UXV4	P78396
Q9HBH1	Q969T4
O60449	Q13068
Q15648	Q9NQ03
P01286	P38570
Q9NQZ7	A6NNA5
Q5VUJ6	Q96LB3
Q8WXJ9	Q9HBY8
Q96R48	Q8WW33
Q2QGD7	Q8IV35
Q5T4B2	Q9NXP7
Q96CW9	Q6P461
Q96PH1	Q5JUK2
Q5JSZ5	A6NDD5
Q99946	P55084
Q96G91	Q9UBQ5
Q2M1P5	O95544
P27815	O43830
Q2M385	A1L162
Q9NVU0	Q96F07
O75570	Q5VUY2
Q9NS15	Q9UHN6
Q96AT9	O94810
Q6P161	Q9NSA1
Q9UIM3	Q96A08
Q9BUD6	O60287
Q15051	Q7Z4L0
Q16254	Q9BTY2
Q9HBY8	Q12857
Q8IZL9	Q5TGS1
P49746	Q7L311
Q58FF3	Q9NRR1
Q7L1T6	A6NGY5
P04279	Q15834
Q9NSD5	Q15084
Q9P2X7	Q99687
Q9Y566	P10619
P07911	Q9Y600
Q8N3C7	P07864
P16422	A6NDN3
Q9Y330	P05783
Q96NG5	Q9UET6
Q9UPR3	P45984
Q9NW81	Q9H354
Q9H4B6	Q8N2U9
P40394	O95295
Q14940	P21926
Q6ZTN6	P48553
Q8IYG6	Q96FM1
Q9H009	Q8NBB4
Q9NYW0	P17568
Q8NHP7	A5PLL1
Q8IYR0	Q9C0I1
Q8WW24	Q969J5
Q6ZRS4	Q7Z7J7
Q96ET8	O75461
P09601	Q15904
A6NF34	Q86TI2
Q9H8N7	Q9H2U1
P08519	Q9Y698
P24844	Q4AE62
P17516	Q8IV38
Q9H7X2	Q9H7T3
Q96DZ5	Q6NXE6
O95157	Q96K49
Q9NRR2	Q9Y6A1
Q14626	Q7L7L0
Q8IWD5	P14625
Q9GZV5	Q9NYK6
Q9UKL2	Q6ZSA8
Q9Y5E9	P06681
Q8IWR0	Q99638
P17050	Q14C86
Q9Y5I0	Q96M42
Q15125	Q8TCW7
Q9UP83	Q8TDR4
Q8N1E2	P59510
P13533	Q9BZD2
Q9UHF0	Q96KC8
A6NC51	P62081
Q17RG1	P23467
Q9BUF5	Q9Y330
Q16832	Q6ZSJ9
Q8IVT5	Q6PEW1
P13533	P60328
Q9Y662	Q9Y5H3
P30679	O94777
P0C2W7	O95150
P60228	Q9H972
P59090	P29034
A6NHP3	Q9NUR3
P08779	P45974
P13612	Q9NVE4
A8MVS5	Q8IYB3
Q86XL3	Q86SJ2
Q14839	A6NCJ1
Q9BXN1	A2RTY3
Q9BU40	P54803
A6NGE7	Q8TBZ6
P41595	Q96B01
Q9NY87	O95363
Q8N2C9	Q86V81
P02729	Q13395
Q12907	Q9UBG3
Q9BXT4	Q9H841
Q9NRX2	P54727
A8MYJ7	Q9UHB7
Q5T8I9	Q9Y5U4
Q15274	Q9NSE7
Q9BY15	Q8TAG5
Q9NUM4	Q9Y5W7
Q9BYJ9	Q96M96
P23434	P09327
P49910	Q07627
P0C7H8	Q2M3G0
O15259	P23276
A6NGB7	Q7Z3Y8
Q3LI77	Q7Z418
P10114	Q96DW6
O00292	P01834
P58004	Q5VWK0
Q9UEU0	Q8NCA9
Q9UH62	P30479
P19022	Q13948
P0C851	Q9Y215
Q96MS3	Q6NUS6
Q6UWF5	Q9BZX2
Q12860	P15382
Q9NWT6	Q9BRR3
Q9UGN5	Q6DN03
P80404	P21127
Q99426	Q30134
Q5SV97	Q86Y37
Q96RF0	Q8MH63
Q9UNE0	Q9H1E5
Q96EH8	Q8N9H9
Q92882	Q86WA8
P11586	Q8N9Q2
Q6UWP2	Q8N6R0
Q16560	Q9UHJ9
Q2UY09	Q02952
Q96PP4	P13378
Q6ZRN7	Q9BU64
O14880	Q9UNW1
Q7Z4V5	P36969
Q7Z7M8	Q8NGY2
Q9Y4G6	Q00597
O14843	O75995
Q6P9A3	P35348
Q8WXQ8	O75343
Q96N95	Q15404
Q9NQW5	Q13066
Q96C57	P41217
Q9HC36	P49754
Q2M1K9	Q9H7F4
P0CK97	Q99707
P41180	Q15392
Q7Z6R9	Q99708
O75121	Q15021
O00338	O94759
Q8N8Q8	Q14242
Q13686	Q9UGM1
Q99615	Q5TGL8
Q8NB42	Q9NRN5
Q8IUB2	Q9BYX7
Q9UPT5	Q12929
Q8NB90	Q96A23
Q96MH2	Q9UP38
Q8N4M1	Q9NZR4
Q9NYK6	O43482
Q9UM82	Q9GZX7
Q6PCB8	Q52LA3
O60282	Q9H9B4
P62487	Q5T4S7
Q9H227	Q9HAV5
O76061	Q9P243
Q9BX10	Q16696
Q9Y376	O15417
Q9H9P5	A8MVG2
Q8WUY3	Q9GZN1
Q7Z5J4	Q8NFN8
Q6ZPB5	Q13367
A8K4G0	Q96CM8
Q5TEJ8	O75928
Q86UL3	Q9P241
Q9BTC8	Q9UPT8
Q9Y251	Q8NFN8
Q7L4I2	Q9BSC4
P22003	Q8N594
P20930	Q7RTN6
Q8N628	Q9UGF5
P47736	E9PAV3
Q9H156	P09972
Q9NUL7	Q8N7X8
O43555	P49019
Q68EA5	P51161
Q9HAV5	Q9UFV1
P20333	Q8IYX7
Q8NEM2	Q7RTT9
P19320	Q14439
A6QL64	Q8IZT6
Q15011	Q6P9B9
Q2M1P5	Q9H777
Q86U44	Q9ULD6
Q86V97	Q9H6B1
Q96MX6	P22004
Q8N988	Q8IXL7
Q04118	Q6ZSB3
Q8IZY2	Q6S9Z5
P10074	P49758
Q9NPE3	P31639
Q03519	Q5SRR4
Q13867	Q13454
Q12791	Q8N283
Q8IY51	Q14894
P15927	Q9NQ30
O43609	P13796
Q9Y215	P07738
Q9NP72	P07316
Q16617	P53801
Q6NUT2	Q5JZY3
P78318	A6NDX4
Q9H246	Q13606
Q3KNT7	Q6N069
Q9NP85	Q5T292
Q5SWW7	Q71RG4
Q8N6V9	Q8TDG2
Q8NFP4	Q5JVS0
Q8NCX0	P46663
P01778	P26441
Q96D05	A6NLI5
P59797	Q6AI14
O00341	Q9H999
O14926	P35052
Q9Y5Z6	P60673
P51690	O95460
P24043	P35240
Q8NFD5	Q9Y4E6
P0DMB1	Q4U2R6
Q8N6Q8	Q9GZV1
Q86WA6	O43174
Q9H4L5	P18054
Q5VYY1	Q6P1K2
O43281	P54252
Q9UMS6	Q9Y303
Q15493	Q9H0E7
Q8IYX0	Q9UDY6
Q5SY80	Q96R69
Q14165	O94927
Q6IEE8	Q96QD5
Q71SY5	Q8N816
Q6R2W3	Q7RTU9
Q9Y4F1	Q9UKD2
P69891	Q15077
Q15345	Q99583
Q96LT6	Q9Y256
P12838	Q96J01
A6NCI4	Q6PIF2
O00574	Q13976
Q330K2	Q8NC42
Q5T4T6	A8K4G0
Q8NH59	Q02818
O95707	Q9UKL6
Q9HCZ1	Q8N387
P51124	O14732
P0C870	P16619
Q99525	Q8N3D4
Q96E17	Q9Y3C7
Q86X55	Q18PE1
Q2TAL6	P43629
Q9UBJ2	Q8N7U6
Q8NFZ0	P17275
B2RN74	Q14296
P17483	O15488
O60225	P60763
P01906	P35241
P20700	Q07065
Q4G0S4	A6NHQ2
Q5SRH9	Q68DH5
Q9UIF8	Q5T5D7
P00352	P53677
Q96DD7	Q9H869
O00189	O94844
Q13634	P25103
P13598	Q8TCC7
P01700	Q6VN20
Q7L0J3	Q7Z624
Q96LU7	P28698
P19105	A8K830
P49223	E5RQL4
O94964	Q6NT16
Q96GD4	O75956
O95390	Q9BQI0
Q86UQ8	Q8NCL9
Q9BY07	A8MT19
Q15366	P10163
O00180	P46020
Q9NRX5	Q9UHJ6
Q9NP80	Q96N68
Q8TAE6	Q01344
Q9H4I0	Q86XS8
Q68CZ6	Q96EL2
Q8IVS8	O75717
P51787	Q07021
Q6EKJ0	O76074
Q8IVN3	P16260
P01713	Q9GZX9
O00110	Q9Y4X5
P68400	Q99797
Q658T7	Q6ZN11
O00203	Q8TE67
Q7Z406	Q9UK00
Q9NY25	Q7L8J4
A6NJQ4	P03905
Q14515	Q9NZM3
Q9BPZ2	O43166
Q96I23	Q96HM7
Q8IUW5	Q14119
Q96MX0	A8MZ26
Q70CQ2	Q5J8X5
Q6ZR03	Q16661
Q9H6F2	A6NK53
Q9H8P0	Q96NZ8
P17066	Q07507
P05787	O94829
Q14C86	Q9ULK5
P78508	P32243
Q05397	O75112
Q96DX5	Q9Y2Q1
Q96S97	Q9NZJ4
Q9Y4A9	P55103
Q9NZC9	Q8N5J4
Q24JP5	Q86SQ3
Q9BW92	Q96HH4
Q9Y2W1	P56750
A6NML5	Q9Y296
O75636	O60687
O94915	Q86YC2
Q8N326	Q6XCG6
P50616	Q86XG9
Q9H5K3	Q16539
Q9NTI5	P0C1H6
Q9UNA0	P49918
O00534	Q96D59
Q9GZP0	Q9NYQ8
Q96A35	Q96DU3
Q6NUK1	Q8WXQ8
Q96MT1	Q5VXH5
Q9BZS1	Q6P9G9
Q658N2	O14807
P11309	O76083
Q86TS7	P63125
Q9Y239	P35244
Q8N6D2	Q07108
P28332	Q6WRX3
O60810	P0C5W0
Q70EL3	Q9NP70
Q6NXP0	A6NJU9
P13725	P29034
Q9UHX3	Q8TEM1
P05155	Q96P67
P55809	A4D1P6
A6NKF1	Q92576
A6NMU1	Q5JUQ0
Q96FW1	O14770
Q13461	Q15554
P33993	Q16610
Q8IZ16	Q96QB1
Q9HC23	Q92576
O95425	Q86X19
Q9Y5G7	Q9NVR5
O75820	Q76EJ3
Q9H1E3	P51659
O14732	Q6UX71
P30050	Q86XJ1
Q6ZMJ4	Q14CZ0
Q9NQ30	P12081
P01893	Q06190
Q96PE1	Q92485
P07992	P59768
Q30KR1	Q09028
P0DH78	Q9P2S2
Q9UJX6	P23219
Q8TD23	Q64ET8
Q5VXU3	P54274
Q8N7H1	O43237
Q66K79	Q9UJM8
P55201	Q9NYM9
Q96BX8	Q3KP31
A4FU01	P39900
Q14721	Q96EG1
P30953	P10415
Q9NZ09	Q9Y5U9
O75121	Q8TB69
Q8NB37	Q6YHK3
Q96S59	Q9NZ20
Q56UN5	Q9NS66
P19087	Q9H7Z7
P62857	P49770
Q6ZS62	Q9H1U4
Q9BSF4	P30990
P11413	Q86TE4
Q8N6M6	Q9BYV2
Q04826	Q5VSY0
Q8WWV3	Q6NYC1
P54886	O15523
Q96JA4	Q9NVK5
Q9BSG1	Q9NSJ1
Q8N690	P17813
P35240	P36776
Q96HY7	Q07960
Q6UX52	Q13422
Q8NGX3	Q9BQ69
Q8NHE4	Q6ZWJ8
P58181	A0AV96
O95447	P51553
Q53H80	Q92529
P52298	Q9UBY5
Q9UK11	Q5SRD1
Q8N9L9	O00175
Q9BYB4	Q8IZA0
O95352	Q8WUA2
Q96LY2	Q8NGI9
Q8N4S7	Q6NT04
Q9Y276	P43251
Q969L4	P61962
Q92615	P43489
Q9P0X4	Q9NZ20
Q13445	Q12999
P01595	Q99717
Q9NWB1	P0C7V7
P20585	Q9H1A3
Q8NFH8	O00566
Q8IWN7	Q9UGF5
Q9P215	Q8N128
Q7Z2W9	O95684
Q5SQ64	Q0ZGT2
A6NDX4	Q96NA2
P05129	Q96N06
P09871	Q2M3T9
Q9NRA8	P12872
Q9P0J1	P49788
P40426	P30307
Q8WUY3	Q8N1G0
Q9UM82	Q4VXF1
Q15782	Q7L804
Q9NQC7	Q7Z4U5
P63136	O43242
Q8WUK0	Q8NCJ5
Q16478	O60811
Q9BWQ6	Q9HB65
P20393	Q2TB90
Q9HBJ0	A6NDP7
Q9H208	A2RU48
Q9BT88	P51681
Q96CC6	Q6PL24
Q13158	Q96EP0
O43583	Q4G0I0
Q13394	Q86WI0
Q8TE82	P42704
A8MTZ7	Q9Y2T5
O75934	Q6ZRM9
P59768	Q96A29
P50402	Q8WTR2
Q9HBE1	Q9BXI3
Q9BUV0	Q3MIW9
Q6ZXV5	P61579
Q5T013	Q5T6F0
P22102	Q96LR2
Q15147	Q9UGP8
Q9HCU9	Q96AV8
Q16280	P01040
Q13469	P25929
Q6DN72	P62847
P67775	P51956
P57073	Q9Y316
Q6ZUL3	Q9NZD1
Q6ZSK4	C9JDV5
Q8NGI7	Q5W5W9
Q15054	Q4G0S7
Q8N3D4	Q15828
A0AVT1	A6NHS7
Q96PX9	P06746
Q15404	Q9HCJ1
Q5JXC2	Q86SU0
Q9H2U1	P0CZ25
Q8NFD2	Q9NV66
O94880	O43597
Q13508	Q13564
Q9P244	Q05BU3
Q9BQ39	Q8NGV6
P07098	P39880
A4D263	O75665
Q13976	P43366
Q5T6R2	P59998
Q9BQR3	Q9HAE3
P53365	P01770
A6NNX1	Q5T6L9
A1X283	P07225
Q1W6H9	B6SEH8
Q7M4L6	Q9BY43
Q14331	P47755
Q15915	Q7L5N7
P13349	O43524
A1KZ92	Q13485
Q7Z736	Q9BZW2
O14602	Q8IYM9
O15335	Q08AG7
Q9BWV2	O14894
Q8IYL2	Q8NGT7
Q9Y342	Q8WU43
Q9UFP1	Q9UBV4
Q9UQP3	Q96EV8
Q8IVH2	O00222
Q32M88	Q3LI54
Q7Z7H5	Q7L1T6
Q8IYS5	Q8IVM8
O43345	Q6ZNG1
Q96JB2	Q9BYK8
Q9UHA3	Q96M11
Q9Y236	Q9H5X1
P06307	Q6DKI1
P06313	Q9NVR5
Q2M2I5	Q8N283
Q5HYC2	A8MWA4
Q8NDD1	Q8NCR0
Q9Y2D0	Q6S5L8
P83110	P0C646
Q86SU0	Q96PU5
P98082	Q9H9G7
Q9NR99	P43630
Q9Y4Y9	Q9BZ23
Q02962	O43462
Q96PQ5	Q9NUQ7
P33981	Q8N4F7
Q9NSD5	P23396
D6RBM5	O43151
P08048	Q6GPH6
P05230	Q8NDB6
O00151	P01160
Q0VAF6	O43237
P63136	O75506
Q9BXM9	P27695
O60403	Q5VWT5
Q9NYA1	P28328
Q6XLA1	O15371
Q8TCF1	Q96DD0
P61160	Q8TBF4
A8MWL6	P98172
O15198	O15229
Q14406	Q9NRS6
O76036	Q8WWT9
Q8WZ55	Q9Y2Y0
Q96NA8	P04220
O95400	O95970
Q4VNC1	O14966
P02462	Q8IYX3
P28908	Q9Y5R6
Q8NFU0	Q14964
Q9H741	Q96PD6
Q9BYQ3	P43632
Q9BQ65	Q14236
Q6I9Y2	A6NJG2
Q9NZC2	O43929
Q5TBC7	A0A5B9
Q0D2H9	Q5RGN0
Q5JPI3	Q7L5Y1
Q8NCU4	A2RUC4
Q8NF86	Q16534
Q92858	Q8IZD2
Q16877	Q9NYU1
Q9UIB8	Q6VB85
Q8NGJ4	Q49AM1
Q86UP6	Q8NGW6
O14950	Q5TAT6
F2Z3M2	Q15743
Q7Z4Q2	Q53ET0
Q07001	Q9NPC4
Q96G27	Q9H354
O14543	Q7Z3E2
Q9NY15	Q9NXZ1
Q8NHY6	Q5VTT2
Q96MR6	P54652
Q6UWT4	O00444
Q8NGX3	P11169
O15226	Q5VY43
Q16864	Q5T764
Q8WXA2	Q86VE3
P60369	Q8NFZ6
Q00059	Q16671
Q0VAM2	Q9NY43
P14625	Q9BZW8
Q08AH3	Q8N6P7
Q4V326	Q93074
Q96JP5	Q7Z7G8
Q9UEG4	A6NNL0
Q8NF67	P57087
Q8N2I2	Q58WW2
Q96JK4	Q8NBT3
Q9Y2E8	P0CL84
P31269	O75309
Q5T7B8	P0CJ87
Q9P2N7	P32298
P00325	P01591
P47929	Q8IYT1
Q5BKY9	Q96L93
Q9H511	Q96KK5
Q8NDV7	Q96HV5
P30488	P06340
P46695	Q92615
Q9H3F6	Q8NH67
Q8NET6	Q9C0B2
P29218	P07203
O75459	P0C7I0
Q9HBV2	E0CX11
P63127	P51170
P10109	B1AH88
Q9NYK5	P52739
P22607	Q9UMR7
Q9H7S9	Q496Y0
Q9UJM3	P82979
Q92625	Q6P1M9
P49773	Q6P3X3
Q8N7X1	Q92754
P11171	Q9NX52
Q8WVF1	Q96HG1
Q9UIY3	Q49A33
Q9BQN1	Q8IZQ1
P0DMB1	Q01449
Q7Z4P5	Q96KC2
P42892	Q6ZN08
Q05086	Q9UKH3
Q6DHV7	Q658K8
Q9H853	Q9Y4C0
Q9UN88	O15554
Q9NQ40	Q9NQZ7
Q9Y6Z7	Q13901
Q96PZ2	Q86YN1
Q15744	Q9BV87
Q8NH92	Q8IZ52
Q8N7K0	A6BM72
Q96NJ5	Q14833
Q8NCG7	Q9NPY3
P08F94	P55285
P60484	Q7L8C5
Q9UKX7	Q9H0D6
Q96JH7	Q15125
Q05513	O60678
Q86XK3	O60741
Q86SK9	P11597
P55145	Q32P41
Q9GZP8	Q6ZRV2
O15169	Q6P5X5
O96014	Q6PI78
P24539	Q9BSE4
Q4VX67	Q13438
Q8WY22	O95059
Q9UL36	Q6ZS27
Q8IYW4	Q5H8C1
Q6ZRV3	Q7RTP6
Q5JUK2	O00212
Q53FT3	O43187
P42261	O94808
Q8NFF5	Q5TA78
O15182	Q9NZ81
Q9NRA0	P29373
Q13636	Q8N148
Q4KMG9	Q9H999
Q9UQB3	Q8NFH5
P22792	Q5VU36
Q05193	P03891
P05198	Q7Z7M8
Q96SZ6	P57060
Q9UNK9	Q9HAS3
Q99958	Q9Y337
Q641Q3	Q7L8W6
Q4KN68	Q9Y5B6
Q8TF46	Q9Y284
P51003	Q96NU0
Q6ZVT6	Q9UPZ9
P42167	Q8NCL8
Q7Z444	Q14997
Q8TDS4	A4QN01
Q01780	O15535
Q5TB80	Q5JY77
Q86YD5	Q5TBA9
Q9BXN1	O95236
Q13077	Q17RY6
Q9BZY9	P29374
P49019	Q9NUL3
Q9HBX9	Q92784
Q5R3F8	Q8WVF1
Q9BXG8	Q5T750
A6NE52	P01778
Q969I6	O00198
Q15843	Q8TAD2
Q5H9K5	A6NGJ6
Q9UHK0	Q8NA96
O00425	Q9H112
Q8NCM8	Q8N720
Q9NXK6	A6NHL2
P04183	P99999
P02533	Q8IU54
Q96C86	P43034
P15374	P07942
Q6ZMV5	P78334
P59942	Q9UHF3
Q9Y448	O95214
Q16670	Q9Y6G3
Q8N145	C9JFL3
P59103	O15374
Q9Y4D7	P52741
Q9NZT2	Q8N9V7
P55327	Q5EBN2
Q9Y672	Q9Y484
P50542	Q9Y6G5
O14793	Q6XPS3
P47985	O60931
Q99674	Q0WX57
Q9UQK1	P55199
Q9Y2X3	Q86X02
O15551	Q8N9H8
Q9H6F5	Q2PPJ7
P28702	Q8NGW6
Q96RN1	O95711
O15269	P34982
Q96HJ5	O95347
E5RJM6	Q9H063
P57789	Q9HAT0
P01137	Q92839
Q9Y224	Q8NBF6
Q8NGJ7	P55160
Q7L945	Q92643
Q5VTT5	O60404
P30279	Q15459
Q5SYB0	Q9Y6Z5
P83111	Q6XXX2
P22914	P23760
Q96EL3	Q9BUQ8
Q5VUM1	Q9Y242
Q8WXE0	A6NL82
P16298	Q9H668
Q14802	Q9NUV7
Q5T124	Q01814
Q9Y233	Q76N32
Q9UKP4	Q14576
Q9Y5B6	Q5GAN4
P17612	Q9BZJ0
P11150	A0PJX4
Q9H5I5	O75054
Q6ZSS3	Q9NZP6
P10092	Q9UBS8
Q8WXI4	P11310
Q8N5S9	Q99453
Q9BQ31	Q9ULM0
P01708	Q96KT6
O60481	Q6UX39
Q96J87	Q13813
Q5VW00	Q8IX18
Q9NW81	Q8IVJ8
O15539	Q86XP3
Q15078	Q9NSB8
Q695T7	Q9BXJ4
Q9UKP4	P07910
O75487	Q9H0D6
P04733	O00555
O60763	O60869
Q6SJ93	Q8WVR3
Q9UDT6	P02743
O14662	Q9C0D7
A6NGY1	P42229
P49354	Q9UGQ2
Q9NUN7	Q02161
Q9P104	P58340
Q92542	Q86XE0
Q96GP6	Q8NAV2
Q7Z7C7	Q9UIE0
O43670	O15050
Q8NGT7	Q5VX52
Q8NGI1	Q92576
Q8N9M1	P13686
O15431	Q15738
Q9P2E7	Q5SYE7
Q96HS1	O43295
O60282	Q66K89
Q6N021	Q8N9K5
Q9H5U6	Q9HBR0
Q9UKF6	Q8WWP7
Q2VWP7	Q6W5P4
Q08AH3	Q8IZP0
Q8TAM6	O76014
Q9H2V7	P68871
O43819	O43934
Q5T035	P46663
O60840	Q8NGY3
Q8IU60	Q9Y6E0
Q7Z2H8	P29074
Q5HYK9	Q8TAD8
O75936	A6NNV3
Q99880	P61769
P01708	P41968
Q99941	Q12908
Q96NG5	Q8TBJ5
Q7Z7B8	O14773
Q9UKJ5	Q9Y6Z2
Q1W6H9	Q13449
Q96JB1	P30530
Q9Y6T7	P49326
Q13887	P09496
Q13046	Q9P2D0
P0DJH9	Q3LI67
Q9Y258	Q32M92
P50570	Q13886
Q8TCA0	Q8N9T8
Q9C009	A6NHL2
O95905	B4DJY2
C9JI98	Q9UHL0
Q9NTJ4	Q5QFB9
Q9NR22	Q8NB78
Q8N4P2	Q5VX52
Q96NF6	P58872
Q8IY85	O15259
Q05469	Q8IVH2
O14974	O43432
Q3MII6	O94888
Q8IUK5	Q9Y6D0
P78310	Q8IYR2
Q9H1P6	Q00534
O43924	Q96HN2
Q9Y3R4	A8MT69
Q86TI4	Q8N111
P04839	Q6PIF2
Q9BV97	P31942
Q9H4M3	O60826
Q8TE58	Q9BQS6
Q9NVR7	Q9NYZ3
Q8WYP3	P11836
P61201	Q9BXC9
P09429	P21730
Q15726	Q96KV6
O15037	A8MTZ7
Q9P2W9	P24386
Q8NGX5	Q06141
Q5VTM2	Q9GZR1
P24821	Q8N9V7
Q9H992	Q9H7Z6
Q5PR19	P15428
Q99685	Q58DX5
Q96T68	P78369
Q00577	Q9Y3A2
Q658K8	O15067
A6NKU9	Q96ER3
Q5VZ72	Q3C1V1
Q86YB7	A6NNA2
Q9UNH6	Q6NX45
Q96R08	Q13207
P0C629	Q8NDB2
Q9H1A7	Q580R0
Q9NRA1	Q8WVM0
Q96KR4	Q86WC6
Q9H223	P52744
Q9H2Q1	Q9C0D0
Q8NEM7	Q92696
Q13098	Q71RH2
Q96J94	Q9P0J6
P01912	P50991
Q6RVD6	Q13495
Q9UKU9	P17097
Q86UD1	O75074
Q17R89	Q9UKA1
O94989	Q9ULI3
Q9Y2Y4	Q16587
Q5T5N4	Q9BQI5
Q5T2L2	Q9H939
O00762	O95639
Q99856	Q16739
P63316	Q9Y5N1
Q12894	P52272
Q99707	P30491
O43592	Q7RTR0
P27352	P78411
Q08828	Q9Y5H9
O95409	Q9NWQ8
P0C7U9	O15068
O14627	P52738
P10072	P30455
Q9H019	Q9HAN9
Q96E40	Q96DF8
A6NF36	Q99873
Q86W92	Q92530
Q96EY4	P48449
Q8IVB5	Q6ZU69
P35520	Q8N9R8
Q9UI46	O75197
P38571	O95500
Q5T5U3	Q8NGI8
P42830	P58658
H3BS89	P78537
Q8TBG4	Q8N1N4
Q8N157	Q5K4E3
O00506	P62081
Q92997	Q9ULJ8
P20783	Q14534
Q7L7X3	Q2VWA4
Q9C0C7	Q5JTH9
Q02161	P18510
Q96RU2	P62244
Q96NJ6	Q9H579
Q96EY4	O14513
P26885	P0C6C1
O60739	Q96GQ7
P23434	Q6UW60
Q01130	O75604
Q12979	A6NH21
Q8IZC4	P0C7W8
Q9UKE5	Q6ZMH5
P80188	Q8N972
O75362	P22234
Q9NTI5	O60306
Q96IR7	Q9Y5B6
Q9UND3	Q8N3V7
Q16825	P19105
Q8NH08	O60422
P46781	O43513
Q13506	Q8TBZ2
Q96SK2	Q8NGQ1
Q9C0D0	Q8N5M9
Q9BUG6	Q96EP1
P20020	M0QZC1
O95382	P17040
Q9P2J3	O00763
P48539	P17612
P09237	Q6P2D8
Q64ET8	Q7Z7G1
Q8N9M1	O95153
P47775	P31391
Q8WZA9	Q5XKK7
P82675	Q9BRK3
P41223	Q9NYA1
Q96IR3	Q96FV3
